user_id,segment,variant,converted
103792,paid_search,control,0
101683,organic,treatment,0
107268,app_store,treatment,0
108837,paid_search,control,0
101617,paid_search,control,0
109102,referral,treatment,0
105028,organic,treatment,0
112656,paid_search,control,0
113891,paid_search,treatment,0
102353,paid_search,control,0
102760,organic,treatment,0
101390,organic,control,0
100070,paid_search,control,0
112376,paid_search,treatment,0
103077,referral,treatment,0
103085,paid_search,control,1
106690,referral,control,0
110952,paid_search,control,0
102411,app_store,control,0
105027,referral,control,1
103542,organic,treatment,0
106969,organic,control,0
109632,referral,control,1
104992,paid_search,control,0
110863,paid_search,control,0
109299,paid_search,control,0
113361,organic,treatment,0
104647,organic,treatment,0
105488,organic,treatment,1
111068,paid_search,control,0
107803,paid_search,control,0
100101,paid_search,control,0
106796,paid_search,control,0
113820,organic,treatment,0
111824,paid_search,treatment,0
100308,referral,treatment,1
106533,app_store,treatment,0
109164,organic,treatment,1
102210,app_store,control,0
102942,organic,treatment,0
109873,organic,treatment,0
113636,organic,treatment,0
109708,app_store,treatment,0
107682,referral,treatment,0
103967,organic,control,0
105990,paid_search,control,0
102576,paid_search,treatment,0
110047,referral,treatment,0
104255,paid_search,control,0
109766,referral,control,0
108185,organic,control,0
109069,app_store,treatment,0
106766,organic,treatment,0
104313,organic,treatment,0
100702,referral,control,0
100174,paid_search,treatment,0
106022,organic,control,0
106118,paid_search,treatment,0
109266,organic,treatment,0
106814,organic,treatment,0
101179,paid_search,control,0
103323,paid_search,treatment,0
104071,paid_search,control,0
113057,paid_search,control,0
108860,paid_search,control,0
102767,paid_search,treatment,0
107717,organic,treatment,0
112273,paid_search,control,0
111531,organic,treatment,1
100038,organic,treatment,1
113267,paid_search,control,0
108472,app_store,treatment,0
104072,influencer,treatment,0
101296,referral,control,0
105618,paid_search,treatment,0
108273,organic,control,0
102894,app_store,treatment,0
113994,paid_search,treatment,0
105686,organic,control,0
113099,app_store,control,0
104668,organic,treatment,1
113206,app_store,control,0
103279,paid_search,treatment,0
102574,paid_search,control,0
112607,app_store,treatment,0
103232,organic,treatment,1
107132,referral,control,0
101626,organic,treatment,0
108102,organic,treatment,0
108180,influencer,treatment,0
100624,organic,treatment,0
111528,paid_search,treatment,0
108123,app_store,treatment,1
108256,paid_search,treatment,0
105358,paid_search,control,1
107936,paid_search,treatment,0
107782,organic,treatment,0
113049,referral,control,0
111117,organic,treatment,1
102093,organic,treatment,1
100623,referral,control,0
107053,app_store,control,0
103544,organic,control,0
104508,paid_search,treatment,0
108467,paid_search,control,0
103211,referral,treatment,0
108309,paid_search,control,0
113301,paid_search,control,0
101350,paid_search,treatment,0
105230,organic,control,0
105706,paid_search,control,0
104409,organic,control,0
106983,referral,control,0
108132,organic,control,0
109088,referral,control,0
104287,app_store,treatment,0
101370,referral,control,1
100003,paid_search,control,1
106863,paid_search,control,0
108731,paid_search,control,0
110220,referral,control,1
105414,paid_search,control,0
100763,paid_search,control,0
103539,paid_search,control,0
105293,referral,control,1
113500,paid_search,control,0
108439,app_store,control,0
113373,paid_search,treatment,0
109993,organic,treatment,0
102025,organic,control,0
102709,organic,control,0
110333,paid_search,treatment,0
110936,referral,control,0
101067,paid_search,treatment,0
108963,paid_search,treatment,1
108100,organic,treatment,0
109804,paid_search,control,0
112033,app_store,control,0
105787,referral,control,0
112563,organic,treatment,1
111626,organic,control,1
102860,app_store,control,0
103489,organic,treatment,0
113420,app_store,control,0
109938,referral,control,0
106649,influencer,control,1
105118,organic,control,0
